dataset,strategy,dice,precision,recall,iou
jrc_mus-kidney,salient_mask_aggressive,0.24389488299832873,0.225998271025088,0.2792177074809441,0.1713730257255603
jrc_mus-kidney,uncertainty_au,0.24776623953000781,0.2912095262830041,0.23188995668792728,0.17315021541849945
jrc_mus-kidney,uncertainty_eu,0.21362157768366977,0.30286517758576476,0.19926974813317838,0.15362033434019112
jrc_mus-liver,box_class_mask,0.5369658889398413,0.498178510174667,0.6172284594253511,0.3855285451336724
jrc_mus-liver,box_class_mask_tight,0.5670395447191666,0.5199755396455256,0.6421494298860534,0.4192194542254417
jrc_mus-liver,class_presence,0.5092921605038484,0.5029880880608393,0.5420887853616171,0.35725473845226513
jrc_mus-liver,class_presence_strict,0.5242266109610095,0.505874023788959,0.5631996515796258,0.37109486150811544
jrc_mus-liver,entropy_mask,0.512557084812097,0.5747797074935546,0.49270559033764494,0.3721576393471888
jrc_mus-liver,entropy_mask_strict,0.576832816454177,0.5849885261234251,0.5904341374862502,0.43779269519279806
jrc_mus-liver,masksup_r0.3,0.5756167245679433,0.6231311978972776,0.5789443750948555,0.44160629705520654
jrc_mus-liver,masksup_r0.5,0.5854994027776029,0.6272872821564753,0.6010874881996331,0.44998708440504676
jrc_mus-liver,no_mask,0.5834476522951038,0.6207420711558967,0.5710438569474379,0.4337313695840391
jrc_mus-liver,regional_g16,0.5489767801784785,0.5286144790569247,0.5742315155684463,0.4057310059183489
jrc_mus-liver,regional_g8,0.5369261105395756,0.4987321392780223,0.6025689588171133,0.3885898275227192
jrc_mus-liver,salient_mask,0.5606699226710568,0.5570209509087607,0.5950834030816953,0.41921955509239267
jrc_mus-liver,salient_mask_aggressive,0.5950766923471342,0.5540296666626434,0.6906186613143935,0.4614253878456826
jrc_mus-liver,uncertainty_au,0.5427128804913733,0.6191290730274059,0.5175077166059113,0.3978925884349615
jrc_mus-liver,uncertainty_eu,0.5481240364132623,0.5781477759889417,0.5293468557750027,0.3915014934673458
jrc_mus-liver-zon-1,box_class_mask,0.4720892197879444,0.44070492696777785,0.5869569672268244,0.34675250288763315
jrc_mus-liver-zon-1,box_class_mask_tight,0.49279062865045764,0.4601911319948022,0.5866230603236768,0.3656474693991316
jrc_mus-liver-zon-1,class_presence,0.4386087565375437,0.4418656994712805,0.45746920013428294,0.32122312249355345
jrc_mus-liver-zon-1,class_presence_strict,0.4444520148134895,0.43187346390126125,0.48697126451852907,0.3275536339662259
jrc_mus-liver-zon-1,entropy_mask,0.5868893895227527,0.6148974293981535,0.5644450914875737,0.46947279259495706
jrc_mus-liver-zon-1,entropy_mask_strict,0.5734354593946509,0.5630689786233196,0.5942973272677508,0.4532661038864161
jrc_mus-liver-zon-1,masksup_r0.3,0.5839712699798142,0.5714712577625425,0.6043742777966188,0.46490775421251723
jrc_mus-liver-zon-1,masksup_r0.5,0.5866753777600987,0.5941316417307808,0.5833649775873759,0.46810003189461524
jrc_mus-liver-zon-1,no_mask,0.41840189499198005,0.4420079412463351,0.40290555948276807,0.3183216229665679
jrc_mus-liver-zon-1,regional_g16,0.5731565790428443,0.5616540731487489,0.5972768417818995,0.45236300495545345
jrc_mus-liver-zon-1,regional_g8,0.5357894664027892,0.5085616299023824,0.5918351232096086,0.4067755601479665
jrc_mus-liver-zon-1,salient_mask,0.5522784738384099,0.5132022273620415,0.5993871295572656,0.42613179522361183
jrc_mus-liver-zon-1,salient_mask_aggressive,0.5663796189401532,0.5000763202620154,0.664689796690257,0.4498397823811292
jrc_mus-liver-zon-1,uncertainty_au,0.5250498134375787,0.568205215294832,0.49645934467580205,0.3953734538216941
jrc_mus-liver-zon-1,uncertainty_eu,0.5835810962197048,0.6280420667960736,0.5464559203961603,0.46437041608664986
jrc_mus-liver-zon-2,box_class_mask,0.3160015704280264,0.35266464707929684,0.33317335228758066,0.239448671944755
jrc_mus-liver-zon-2,box_class_mask_tight,0.3160015704280264,0.35266464707929684,0.33317335228758066,0.239448671944755
jrc_mus-liver-zon-2,class_presence,0.25898162073078196,0.3037652437337156,0.2757918677002217,0.18431497042951112
jrc_mus-liver-zon-2,class_presence_strict,0.26463496535255626,0.3309910106272623,0.25857694070620096,0.18693501762712167
jrc_mus-liver-zon-2,entropy_mask,0.27614182973054396,0.36960860082695696,0.23908746767286124,0.19180057107102472
jrc_mus-liver-zon-2,entropy_mask_strict,0.31811084007951707,0.36463522073048926,0.32902315788137326,0.2495149808126454
jrc_mus-liver-zon-2,masksup_r0.3,0.3399286633484494,0.3931659316806577,0.3374424702948463,0.27238364734261983
jrc_mus-liver-zon-2,masksup_r0.5,0.33002883518828224,0.3776485789103578,0.34654377119372015,0.26480125289290923
jrc_mus-liver-zon-2,no_mask,0.30787113713475056,0.35690925604499,0.32087134660776184,0.24371177219187573
jrc_mus-liver-zon-2,regional_g16,0.3066608695525477,0.35047432452545896,0.2886542142508891,0.22832938041668718
jrc_mus-liver-zon-2,regional_g8,0.2783328303567048,0.33190954799493133,0.2815760707265033,0.20060822441228243
jrc_mus-liver-zon-2,salient_mask,0.34181498377963443,0.36682188529327736,0.3279327423254829,0.263116119852319
jrc_mus-liver-zon-2,salient_mask_aggressive,0.3838472345277852,0.36230598191892394,0.4205110157496783,0.3088550844747998
jrc_mus-liver-zon-2,uncertainty_au,0.26456384930088483,0.35343364677173306,0.23493423581714698,0.18614478794449077
jrc_mus-liver-zon-2,uncertainty_eu,0.2523447373949831,0.31911924964640387,0.22499394567401843,0.17508016499998386
jrc_sum159-4,box_class_mask,0.47313301448033396,0.5861101488394386,0.46440008042522773,0.36641352907507835
jrc_sum159-4,box_class_mask_tight,0.46818818468441525,0.5786552637028183,0.46060675324346406,0.36046165452293905
jrc_sum159-4,class_presence,0.2986534567831982,0.3389690309991901,0.31292650939512967,0.19811283559081197
jrc_sum159-4,class_presence_strict,0.2703022576990491,0.30218539788150683,0.29953638595365284,0.17560249670254585
jrc_sum159-4,entropy_mask,0.4103890764570603,0.6399026152491665,0.3843461788842166,0.31204867947666465
jrc_sum159-4,entropy_mask_strict,0.4146484555101077,0.5548597911648607,0.382176110535811,0.3190763438836649
jrc_sum159-4,masksup_r0.3,0.46893874496021776,0.6328182899890374,0.4450797071059557,0.3864641278230732
